internet_usage_pct,social_media_usage_pct,avg_time_online_hours,social_media_time_share_pct,internet_users_percent,daily_internet_users,internet_addiction_index,stress_from_devices,youth_online_activity,avg_screen_time_hours
64.52,55.79,4.13,53.8,57.54,42.25,46.31,50.38,43.05,4.66
56.05,62.39,3.45,33.04,57.52,55.22,49.8,54.96,49.71,4.54
28.65,35.62,1.42,12.88,48.02,14.14,9.26,5.92,17.89,1.05
95.16,74.19,7.73,62.88,85.62,77.51,66.6,89.08,78.73,8.26
39.6,31.25,0.97,18.32,26.04,22.35,10.26,5.75,17.59,2.29
55.82,61.47,3.43,40.93,59.9,43.89,47.18,50.54,64.74,4.35
58.83,62.6,4.61,36.7,68.76,46.35,51.04,33.97,57.35,4.51
91.04,78.81,9.25,57.56,85.47,82.32,65.43,62.14,74.84,8.78
34.27,38.17,2.09,26.46,36.09,15.68,15.2,4.21,35.69,2.39
84.0,84.0,4.0,44.0,88.0,72.0,32.0,20.0,98.0,8.0
32.27,27.88,1.31,28.72,29.12,11.12,12.57,21.86,37.29,2.65
69.63,59.24,5.38,43.75,64.52,45.26,53.58,35.99,61.2,4.53
82.6,75.0,3.3,40.0,82.0,65.0,18.0,13.0,96.0,6.2
32.52,27.21,2.13,29.11,32.16,33.12,3.55,13.55,30.85,1.23
66.83,62.16,5.16,54.63,71.61,60.87,29.94,29.13,49.92,4.95
66.53,44.73,3.21,35.23,53.86,57.75,38.76,54.71,45.57,5.23
53.93,46.59,5.06,52.9,54.67,49.28,47.8,51.35,51.86,4.85
44.35,25.97,2.52,23.95,27.35,34.39,19.75,17.94,18.2,1.99
52.02,57.35,4.57,46.91,50.43,45.84,33.34,48.34,64.38,4.09
78.81,85.92,6.75,82.5,78.78,66.67,65.11,74.6,74.46,7.27
70.1,62.0,2.2,31.0,71.0,51.0,10.0,8.0,76.0,5.0
74.19,79.64,7.51,93.0,88.58,92.83,63.5,99.06,84.46,9.85
60.51,59.51,5.17,48.3,71.19,56.77,51.4,28.42,61.04,4.63
71.76,54.79,5.01,54.77,53.12,48.76,38.6,27.4,61.64,4.61
28.44,38.97,2.4,21.87,44.57,29.88,23.81,7.81,29.75,1.21
71.99,53.88,3.23,48.47,71.49,45.64,40.45,37.74,43.34,5.28
47.27,37.34,1.84,16.32,44.3,26.54,11.22,4.79,33.67,1.58
44.47,18.36,1.87,20.28,46.44,21.57,11.47,15.15,21.66,1.31
82.68,79.89,8.15,80.69,98.02,97.51,73.23,70.49,82.98,10.39
85.47,88.4,8.87,68.51,82.33,77.01,60.16,63.31,91.42,9.1
45.66,37.4,1.08,21.08,27.71,26.81,9.19,15.53,33.17,2.69
29.26,38.13,1.96,16.94,39.77,10.57,24.09,12.16,34.57,1.18
75.73,93.57,8.44,78.01,99.52,85.47,74.7,72.28,81.95,7.15
71.88,57.52,4.96,52.66,67.33,42.44,43.18,28.06,58.98,6.07
56.26,62.63,3.56,38.81,70.0,50.71,48.04,42.72,58.99,4.24
50.04,44.58,5.07,31.03,61.18,49.75,36.99,37.94,62.3,5.76
45.84,16.3,2.65,11.98,46.09,32.57,24.55,18.24,34.49,2.41
71.75,60.82,4.78,42.25,53.36,60.1,37.22,26.5,50.9,5.62
65.65,45.46,3.11,34.32,70.21,38.22,33.08,25.94,44.88,5.14
58.68,58.97,3.62,49.06,61.09,56.01,40.55,36.04,47.7,3.98
80.18,75.32,7.1,61.27,98.48,77.88,65.89,93.25,81.38,6.55
99.97,86.86,10.85,91.44,94.37,80.05,59.57,56.7,83.79,9.86
44.06,21.76,1.53,16.29,28.94,13.69,23.59,11.32,24.58,2.61
50.27,60.31,4.25,40.79,52.07,59.35,38.67,45.48,45.88,6.09
99.21,78.94,7.95,78.81,76.46,74.88,64.5,60.54,95.85,10.54
97.03,76.69,7.97,66.46,89.37,97.74,71.16,80.51,78.19,7.52
51.59,61.37,3.13,37.73,57.35,42.15,36.48,47.28,42.38,5.72
70.34,60.92,3.09,39.94,51.07,40.62,46.23,46.4,62.12,5.82
28.51,25.48,2.73,21.92,48.33,30.11,13.28,17.91,15.45,1.24
43.37,20.06,2.19,27.21,28.3,25.36,5.09,16.79,17.11,3.06
75.7,69.65,6.28,80.16,76.29,94.54,89.19,92.07,85.31,13.48
83.6,97.41,9.02,56.18,74.04,88.18,80.76,57.17,92.05,12.44
68.84,50.56,3.37,45.42,52.63,46.76,53.88,54.86,62.07,4.27
93.11,93.9,10.02,67.23,76.18,71.82,78.13,78.23,87.06,9.14
55.28,56.83,3.69,37.19,62.89,47.84,33.91,49.48,64.37,3.87
64.6,44.57,5.0,35.23,59.32,51.25,41.52,45.58,58.97,6.18
61.68,47.71,3.59,34.87,70.68,59.31,48.99,40.53,54.76,4.88
48.19,34.3,2.2,26.76,26.0,15.04,5.75,12.59,33.63,2.39
83.7,79.0,3.7,42.0,85.0,69.0,24.0,18.0,97.0,7.0
80.87,84.0,10.81,85.66,92.12,69.48,71.74,77.05,73.57,8.27
80.9,72.0,3.0,38.0,80.0,62.0,14.0,11.0,95.0,6.0
84.0,85.32,8.86,88.63,75.93,71.33,90.89,93.3,99.84,12.58
40.93,18.05,1.98,23.72,25.31,21.36,21.16,8.61,26.46,1.97
41.3,36.69,1.71,14.96,30.92,28.65,20.96,5.0,16.66,2.31
55.31,49.42,3.37,51.98,56.23,51.48,49.38,48.51,53.4,4.73
53.01,55.22,5.39,47.82,63.09,47.42,52.71,39.91,45.49,4.42
45.74,34.92,1.27,20.62,40.15,31.69,16.27,10.84,24.35,1.94
88.0,85.0,4.2,45.0,88.0,72.0,32.0,20.0,98.0,8.0
51.37,52.54,3.31,34.66,63.91,47.43,52.89,34.57,60.88,4.69
50.09,42.38,5.38,45.03,52.79,59.54,51.77,41.09,58.17,4.16
56.88,43.17,3.27,40.23,51.33,54.76,33.59,34.06,52.25,4.57
84.39,68.27,9.1,64.89,90.22,64.88,99.18,76.64,96.8,9.72
81.32,70.33,8.85,83.5,74.89,80.8,90.42,88.91,94.27,9.53
54.76,51.52,3.76,32.87,50.66,46.32,28.51,29.96,60.85,5.38
92.25,86.0,4.4,46.0,88.0,72.0,32.0,20.0,98.0,8.0
43.62,39.19,1.45,17.41,36.74,14.74,5.86,12.04,20.67,2.47
42.55,31.2,2.1,16.32,44.69,23.73,12.49,14.89,24.02,2.13
79.38,67.67,6.51,58.47,78.27,84.04,96.15,79.64,88.41,7.75
93.46,94.1,8.91,71.03,80.31,82.31,69.85,80.82,89.98,6.78
30.36,25.21,2.51,14.68,26.46,17.03,9.46,15.58,28.93,2.72
67.1,53.26,5.37,42.16,71.51,47.88,49.43,27.54,56.44,5.65
91.14,98.66,7.79,72.58,94.93,81.71,88.41,76.23,75.68,11.67
96.23,76.89,7.73,58.16,82.65,72.8,82.86,65.04,96.54,12.99
85.02,68.15,11.32,68.12,78.11,73.58,98.43,60.15,95.89,11.4
76.53,80.92,7.39,70.4,79.37,91.24,96.92,77.91,88.93,12.54
65.13,58.22,3.93,46.38,50.24,43.02,42.18,29.91,46.31,5.74
46.28,18.88,2.27,13.86,31.77,27.75,24.56,14.62,16.36,2.36
55.57,42.69,3.29,53.0,57.07,52.6,40.56,37.01,55.83,3.92
32.55,37.96,2.36,12.21,49.93,31.98,9.25,18.9,17.66,3.2
81.26,87.04,10.08,61.0,94.08,97.72,88.05,75.41,96.18,10.1
35.22,20.44,1.98,16.34,25.9,20.46,13.43,7.29,29.31,2.24
38.82,38.4,2.36,19.59,34.41,34.67,18.79,21.07,17.96,2.87
55.59,63.13,4.09,45.48,71.66,46.68,49.96,34.55,62.78,5.08
36.39,20.06,1.41,21.58,29.42,31.42,19.69,16.67,25.8,2.38
35.1,26.85,1.04,12.68,31.95,17.62,12.41,14.61,30.87,1.91
93.37,69.32,8.36,63.82,78.01,80.16,68.73,91.03,97.14,12.08
59.87,51.04,5.1,54.41,69.2,42.62,33.96,44.68,49.52,5.46
26.38,19.37,0.91,21.82,42.02,19.84,10.0,12.59,36.88,2.87
98.29,72.39,6.23,75.41,87.03,81.8,75.21,99.77,84.07,9.74
97.66,70.76,9.6,87.76,79.35,73.22,98.44,67.64,82.33,9.41
73.1,65.0,2.4,33.0,71.0,53.0,11.0,9.0,82.0,5.2
41.41,15.9,0.81,11.03,40.15,30.04,8.25,19.14,16.43,2.76
98.27,94.47,6.29,58.33,95.54,68.76,79.54,96.29,86.59,9.16
88.29,84.73,10.49,83.71,73.72,64.83,82.47,77.39,77.07,9.31
95.41,99.18,10.57,92.79,76.43,92.44,80.01,79.91,96.87,13.3
56.51,50.54,3.97,49.24,66.99,42.96,53.42,28.62,65.3,3.68
57.47,63.96,3.58,33.37,66.58,59.14,35.51,31.06,46.83,4.86
70.96,56.03,3.61,46.01,57.05,61.43,38.79,45.56,42.6,4.52
55.32,55.09,4.42,51.39,50.1,58.48,44.72,29.88,62.1,5.8
66.27,60.42,3.12,36.63,63.68,58.6,28.12,40.44,59.61,3.48
53.39,51.72,4.49,53.39,71.58,39.67,31.73,48.72,49.04,5.88
94.25,97.05,7.06,84.72,91.31,82.35,64.3,90.99,98.78,11.5
47.71,32.49,1.33,29.38,44.47,27.92,12.89,8.17,17.41,2.99
62.17,57.04,5.33,54.63,56.34,55.61,48.25,35.39,45.22,3.51
61.8,51.99,3.32,34.02,70.95,49.57,53.74,29.91,56.41,3.98
35.93,35.82,2.2,16.25,45.81,30.12,11.52,8.48,32.06,1.31
51.11,55.68,3.71,46.93,68.4,38.44,44.08,31.94,64.72,4.11
52.13,61.45,4.48,44.02,53.64,44.08,32.33,50.56,57.19,5.46
